variance,ber
0.01,0.0435782
0.012,0.0546372
0.0144,0.0655633
0.01728,0.0772653
0.020736,0.0899924
0.0248832,0.103931
0.0298598,0.117526
0.0358318,0.131508
0.0429982,0.146727
0.0515978,0.161668
0.0619174,0.178339
0.0743008,0.195336
0.089161,0.212534
0.106993,0.231147
0.128392,0.249466
0.15407,0.267155
0.184884,0.28418
0.221861,0.301254
0.266233,0.317351
0.31948,0.332992
0.383376,0.348073
0.460051,0.361205
0.552061,0.375653
0.662474,0.38571
0.794968,0.398632
0.953962,0.408706
1.14475,0.418213
1.37371,0.427123
1.64845,0.4354
1.97814,0.442692
2.37376,0.448581
2.84852,0.45393
3.41822,0.459792
4.10186,0.463975
4.92224,0.468177
5.90668,0.471557
7.08802,0.474451
8.50562,0.477503
